カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WXDi-P11-004,WISH IN…,ピース,-,無,-,《無》×１,-,このゲームの間、あなたは以下の能力を得る。『【自】：あなたのメインフェイズ開始時、あなたの手札が５枚以下の場合、カードを１枚引く。』,―,メインフェイズ
WXDi-D03-009,レイ＊一斬,アシストルリグ,レイ,青,1,-,-,【出】：カードを２枚引く。,―,メインフェイズ
WXDi-D03-014,羅石　ヴォルカニック,シグニ,奏羅：宝石,赤,2,-,10000,―,ライフバースト：対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-D03-016,大得装　トレット,シグニ,奏武：アーム,赤,3,-,10000,【出】《赤》《無》：あなたのトラッシュからレベル１の赤のシグニ１枚を対象とし、それを手札に加える。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②カードを１枚引く。,―
WXDi-D03-001,欠片へ一歩　ヒラナ,ルリグ,ヒラナ,赤,0,-,-,―,―,―
WXDi-D01-003,紡ぎし扉　アト＝トヴォ,ルリグ,アト,緑,2,-,-,―,―,―
WXDi-D03-020,サーバント　＃,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-D03-005,未来へ前進　アキノ,ルリグ,アキノ,白,0,-,-,―,―,―
WXDi-D03-017,羅石　アダマスフィア,シグニ,奏羅：宝石,赤,3,-,12000,【自】：このシグニがアタックしたとき、あなたのデッキの一番上を公開する。そのカードがレベル３のシグニの場合、《赤》《赤》を支払ってもよい。そうした場合、ターン終了時まで、このシグニは【アサシン】を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える）,―,―
WXDi-P11-001,FLY ME TO THE FUTURE,ピース,-,無,-,《無》×１,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）以下の２つから１つを選ぶ。①直前のターンにあなたのライフクロスが２枚以上クラッシュされていた場合、対戦相手のシグニ１体を対象とし、それをバニッシュし、カードを２枚引く。②直前のターンにあなたのライフクロスが４枚以上クラッシュされていた場合、あなたのデッキをシャッフルし一番上のカードをライフクロスに加える。,―,メインフェイズ
WXDi-D03-019,羅石　シルヴァーナ,シグニ,奏羅：宝石,赤青,2,-,10000,（エナコストを支払う際、このカードは赤か青１つとして支払える）,―,―
WXDi-D03-013,紅将　ランスロット,シグニ,奏像：武勇,赤,2,-,5000,【出】《無》：対戦相手のパワー5000以下のシグニ１体を対象とし、それをバニッシュする。,―,―
WXDi-D03-006,アキノ＊グー,アシストルリグ,アキノ,白,1,-,-,【出】：対戦相手のレベル２以下のシグニ１体を対象とし、それを手札に戻す。,―,メインフェイズ
WXDi-D01-002,紡ぎし扉　アト＝エット,ルリグ,アト,緑,1,-,-,―,―,―
WXDi-P13-002,Instigate,ピース,-,黒,-,《黒》×１,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたか対戦相手のデッキの上からカードを８枚トラッシュに置く。その後、あなたのトラッシュから《ディソナアイコン》のシグニを２枚まで対象とし、それらを場に出す。対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーをあなたの場にある《ディソナアイコン》のシグニ１体につき－5000する。,―,メインフェイズ
WXDi-P11-007,アイヤイ★ショーダウン,ルリグ,アイヤイ,緑,3,-,-,【自】《ターン１回》：あなたのターンの間、あなたのエナゾーンからシグニ１枚が手札に加わるか場に出たとき、【エナチャージ１】をする。【出】：あなたのエナゾーンからシグニを１枚まで対象とし、それを手札に加える。【起】《ゲーム１回》《緑×0》：あなたのシグニ１体を対象とし、ターン終了時まで、それは「【自】：このシグニがバトルによってシグニ１体をバニッシュしたとき、あなたのエナゾーンからレベル２以下のシグニを１枚まで対象とし、それとこのシグニの場所を入れ替える。それの【出】能力は発動しない。」を得る。,―,―
WXDi-D01-009,ウムル＝ドロー,アシストルリグ,ウムル,青,1,-,-,【出】：カードを２枚引く。,―,メインフェイズ
WXDi-D01-001,紡ぎし扉　アト＝ノル,ルリグ,アト,緑,0,-,-,―,―,―
WXDi-D01-005,目醒めし者　タウィル＝ノル,ルリグ,タウィル,赤,0,-,-,―,―,―
WXDi-D01-006,タウィル＝ハウリング,アシストルリグ,タウィル,赤,1,-,-,【出】：対戦相手のパワー８０００以下のシグニ１体を対象とし、それをバニッシュする。カードを１枚引き、手札を１枚捨てる。,―,メインフェイズ
WXDi-D01-004,紡ぎし扉　アト＝トレ,ルリグ,アト,緑,3,-,-,【チーム】＜アンシエント・サプライズ＞【チーム起】《ターン１回》《緑×0》：それぞれ異なるクラスを持つあなたのシグニ３体を対象とし、ターン終了時まで、それらのパワーを＋３０００する。【出】：【エナチャージ２】をする。この方法でエナゾーンに置かれたカードが共通するクラスを持たない場合、追加で【エナチャージ１】をする。,―,―
WXDi-D06-004,VOGUE3　ムジカ,ルリグ,ムジカ,黒,3,-,-,【チーム】＜DIAGRAM＞【チーム常】：あなたのターンの間、対戦相手の中央のシグニゾーンにあるシグニのパワーを－2000する。【出】：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。【起】《ゲーム１回》《黒×0》：あなたの＜DIAGRAM＞のレベル１のルリグ１体を対象とし、それをルリグデッキに戻す。（下のカードは場に残す）,―,―
WXDi-D01-010,ウムル＝ダウン,アシストルリグ,ウムル,青,2,-,-,【出】：対戦相手のシグニ１体を対象とし、それをダウンする。【出】《青》《無》：対戦相手のシグニ１体を対象とし、それをダウンする。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,メインフェイズ アタックフェイズ
WXDi-D01-008,奏救の鍵主　ウムル＝ノル,ルリグ,ウムル,青,0,-,-,―,―,―
WXDi-D06-005,マドカ　START,ルリグ,マドカ,青,0,-,-,―,―,―
WXDi-D06-001,ムジカ　START,ルリグ,ムジカ,黒,0,-,-,―,―,―
WXDi-D01-007,タウィル＝カラーズ,アシストルリグ,タウィル,赤,2,-,-,【出】：あなたの場に赤のシグニがある場合、対戦相手のパワー１００００以下のシグニ１体を対象とし、それをバニッシュする。青のシグニがある場合、カードを２枚引く。緑のシグニがある場合、【エナチャージ２】をする。（あなたのデッキの上からカードを２枚エナゾーンに置く）,―,メインフェイズ
WXDi-D06-011,salvage　the　future,ピース,-,黒青緑,-,《黒》×０,-,【使用条件】【チーム】＜DIAGRAM＞＆全員レベル１以上あなたのレベル３のルリグ１体を対象とし、ターン終了時まで、それは以下の能力を得る。『【自】：このルリグがアタックしたとき、以下の２つから１つを選ぶ。①対戦相手のデッキの上からカードを１５枚トラッシュに置く。②あなたのトラッシュから《ガードアイコン》を持たないシグニを３枚まで対象とし、それらを手札に加える。』,―,メインフェイズ
WXDi-D06-014,凶天　ガープ,シグニ,奏像：天使,黒,2,-,5000,【出】《無》：あなたのトラッシュから白か赤か青か緑のレベル１のシグニ１枚を対象とし、それを場に出す。（《白2》か《赤2》か《青2》か《緑2》を持つシグニを場に出せる）,ライフバースト：対戦相手のシグニ１体を対象とし、《黒》《無》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－12000する。,―
WXDi-D06-010,サンガ//シェイク,アシストルリグ,サンガ,緑,2,-,-,【出】：ターン終了時まで、このルリグは「【自】《ターン２回》：対戦相手のシグニかルリグがアタックしたとき、そのアタックを無効にする。」を得る。,―,メインフェイズ アタックフェイズ
WXDi-D06-006,マドカ//フロート,アシストルリグ,マドカ,青,1,-,-,【出】手札を１枚捨てる：カードを３枚引く。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,メインフェイズ
WXDi-D06-002,VOGUE1　ムジカ,ルリグ,ムジカ,黒,1,-,-,―,―,―
WXDi-D06-007,マドカ//ダブ,アシストルリグ,マドカ,青,2,-,-,【出】：対戦相手のシグニ１体を対象とし、それをダウンする。カードを１枚引く。【出】《青》：対戦相手の手札を１枚見ないで選び、捨てさせる。,―,メインフェイズ アタックフェイズ
WXDi-D06-012,コードメイズ　クマボク,シグニ,奏械：迷宮,緑,1,-,2000,【自】：対戦相手のシグニ１体がアタックしたとき、その正面にシグニがない場合、このシグニをアタックしたそのシグニの正面に配置してもよい。【自】：場にあるこのシグニが他のシグニゾーンに移動したとき、《無》《無》を支払ってもよい。そうした場合、このシグニとあなたのエナゾーンにあるシグニ１枚の場所を入れ替える。（それの【出】能力は発動する）,―,―
WXDi-D01-012,羅星　カメロパル,シグニ,奏羅：宇宙,緑,1,-,3000,【常】：あなたのエナゾーンにあるシグニが持つクラスが合計３種類以上あるかぎり、このシグニのパワーは＋４０００される。,―,―
WXDi-D01-016,羅石　アシレン,シグニ,奏羅：宝石,青,3,-,12000,【自】：このシグニがアタックしたとき、このシグニのパワーが１５０００以上の場合、対戦相手は手札を１枚捨てる。２００００以上の場合、代わりに対戦相手の手札を１枚見ないで選び、捨てさせる。,ライフバースト：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。カードを１枚引く。（凍結されたシグニは次の自分のアップフェイズにアップしない）,―
WXDi-D01-021,複成,スペル,-,緑,-,《緑》×１,-,あなたのエナゾーンから緑のシグニ１枚を対象とし、それを手札に加える。あなたの場に＜アンシエント・サプライズ＞のルリグが３体いる場合、代わりにあなたのエナゾーンからシグニ１枚を対象とし、それを手札に加える。,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-D01-019,幻獣　コアララ,シグニ,奏生：地獣,赤緑,2,-,10000,（エナコストを支払う際、このカードは赤か緑１つとして支払える）,―,―
WXDi-D01-017,翠天　アタランテ,シグニ,奏像：天使,緑,3,-,12000,【出】エナゾーンからそれぞれ異なるクラスを持つシグニ３枚をトラッシュに置く：対戦相手のパワー８０００以上のシグニ１体を対象とし、それをバニッシュする。,―,―
WXDi-D01-015,大装　トビエル,シグニ,奏武：アーム,赤,3,-,12000,【自】：このシグニがアタックしたとき、あなたの他のシグニ１体を対象とし、ターン終了時まで、それのパワーを＋５０００する。【出】手札を２枚捨てる：カードを２枚引く。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②カードを１枚引く。,―
WXDi-D01-014,ツヴァイ＝スローロリス,シグニ,奏武：毒牙,緑,2,-,3000,【常】：あなたのエナゾーンにあるシグニが持つクラスが合計３種類以上あるかぎり、このシグニのパワーは＋５０００される。【起】《ターン１回》《緑》《緑》《無》：あなたの他のパワー１５０００以上のシグニ１体を対象とし、ターン終了時まで、それは【ランサー】を得る。（【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,―
WXDi-D01-020,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-D06-003,VOGUE2　ムジカ,ルリグ,ムジカ,黒,2,-,-,―,―,―
WXDi-D06-009,サンガ//エアー,アシストルリグ,サンガ,緑,1,-,-,【出】：あなたのレベル２以下のシグニ１体を対象とし、ターン終了時まで、それは【ランサー】を得る。（【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,メインフェイズ
WXDi-D06-008,サンガ　START,ルリグ,サンガ,緑,0,-,-,―,―,―
WXDi-D01-018,幻水　スイギュウ,シグニ,奏生：水獣,青緑,1,-,5000,（エナコストを支払う際、このカードは青か緑１つとして支払える）,―,―
WXDi-D01-013,翠将　センノリキュウ,シグニ,奏像：武勇,緑,2,-,10000,―,ライフバースト：【エナチャージ３】（あなたのデッキの上からカードを３枚エナゾーンに置く）,―
WXDi-D01-011,ハーモニー・コール,ピース,-,緑赤青,-,《無》×８,-,【使用条件】【チーム】＜アンシエント･サプライズ＞＆全員レベル１以上あなたのデッキの上からカードを８枚見る。その中からレベル１とレベル２とレベル３のシグニをそれぞれ１枚まで場に出し、残りをシャッフルしてデッキの一番下に置く。その後、ターン終了時まで、対象のレベル１のシグニ１体は【アサシン】を得、対象のレベル２のシグニ１体は【ダブルクラッシュ】を得、対象のレベル３のシグニ１体は【ランサー】を得る。,―,メインフェイズ
WXDi-D06-013,羅原　Ｈｅｇ,シグニ,奏羅：原子,青,2,-,8000,【自】：このシグニがバトル以外によってバニッシュされたとき、対戦相手のルリグ１体を対象とし、それをダウンする。,―,―
WXDi-D06-016,ドライ＝リカブト,シグニ,奏武：毒牙,黒,3,-,10000,【自】：このシグニがバニッシュされたとき、このシグニの正面にあったシグニ１体を対象とし、《無》《無》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－10000する。【出】《黒》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーをあなたの場にあるシグニが持つ色の種類１つにつき－3000する。（無色は色に含まれない）,―,―
WXDi-D06-015,羅原　Ｇｅ,シグニ,奏羅：原子,緑,3,-,12000,【出】《無》《無》《無》：このコストでトラッシュに置いたカードが持つ色が合計３種類以上ある場合、対戦相手のパワー12000以上のシグニ１体を対象とし、それをバニッシュする。（無色は色に含まれない）,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②【エナチャージ１】（あなたのデッキの一番上のカードをエナゾーンに置く）,―
WXDi-D06-017,凶魔　アンナ・ミラージュ,シグニ,奏像：悪魔,黒,3,-,13000,【ライズ】あなたのシグニ１体の上に置く（この条件を満たさなければ場に出せない）【出】《無》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。（パワーが０以下のシグニはルールによってバニッシュされる）,ライフバースト：あなたのトラッシュから《ガードアイコン》を持たないシグニ１枚を対象とし、それを手札に加えるか場に出す。,―
WXDi-D06-020,サーバント　＃,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-D05-004,ガッツ　Dr.タマゴ,ルリグ,タマゴ,青,3,-,-,【チーム】＜うちゅうのはじまり＞【チーム出】：カードを１枚引く。対戦相手は手札を１枚捨てる。【自】：このルリグがアタックしたとき、このルリグの下にカードが５枚以上ある場合、カードを１枚引く。７枚以上ある場合、追加で対戦相手は手札を１枚捨てる。【起】《ゲーム１回》《青×0》：あなたの他のルリグの下にあるすべてのカードをこのルリグの下に置く。,―,―
WXDi-D04-009,VJ.WOLF-CUE,アシストルリグ,WOLF,緑,1,-,-,【出】：対戦相手のパワー7000以上のシグニ１体を対象とし、それをバニッシュする。,―,メインフェイズ
WXDi-D04-001,MC.LION-standby,ルリグ,LION,白,0,-,-,―,―,―
WXDi-D04-003,MC.LION-2ndVerse,ルリグ,LION,白,2,-,-,―,―,―
WXDi-D04-017,幻獣　ウサウサ,シグニ,奏生：地獣,緑,3,-,10000,【自】：このシグニがアタックしたとき、以下の２つから１つを選ぶ。①あなたのエナゾーンからシグニ１枚を対象とし、それを手札に加える。②【エナチャージ１】（あなたのデッキの一番上のカードをエナゾーンに置く）,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②【エナチャージ１】,―
WXDi-D04-014,翠将　アマゾネス,シグニ,奏像：武勇,緑,2,-,10000,―,ライフバースト：対戦相手のパワー7000以上のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-D04-004,MC.LION-3rdVerse,ルリグ,LION,白,3,-,-,【チーム】＜Card Jockey＞【チーム出】：あなたのデッキの上からカードを４枚見る。その中からカードを２枚まで手札に加え、残りをトラッシュに置く。【起】《ゲーム１回》《白×0》：ターン終了時まで、このルリグは「【自】：このルリグがアタックしたとき、そのアタック終了時、そのアタックによって対戦相手にダメージが与えられていなかった場合、あなたのアップ状態のレベル２のルリグ１体をダウンしてもよい。そうした場合、このルリグをアップする。」を得る。,―,―
WXDi-D04-013,聖天　ミカエル,シグニ,奏像：天使,白,2,-,8000,【常】：このシグニが左か右のシグニゾーンにあるかぎり、あなたの中央のシグニゾーンにあるシグニのパワーを＋3000する。,―,―
WXDi-D06-019,蒼凶魔　チクタク,シグニ,奏像：悪魔,青黒,2,-,10000,（エナコストを支払う際、このカードは青か黒１つとして支払える）,―,―
WXDi-D04-006,DJ.LOVIT-SCRATCH,アシストルリグ,LOVIT,赤,1,-,-,【出】：対戦相手のパワー10000以下のシグニ１体を対象とし、それをバニッシュする。,―,メインフェイズ
WXDi-D04-015,聖天　アテナ,シグニ,奏像：天使,白,3,-,12000,【出】《白》《無》《無》：あなたのトラッシュから《ガードアイコン》を持つシグニ１枚を対象とし、それを手札に加える。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,―
WXDi-D04-021,グッド・ディグ,スペル,-,白,-,《白》×１ 《無》×１,-,あなたのデッキの上からカードを７枚見る。その中からシグニを２枚まで公開し手札に加え、残りをシャッフルしてデッキの一番下に置く。あなたの場に＜Card Jockey＞のルリグが３体いる場合、代わりにその中からカードを２枚まで手札に加え、残りをシャッフルしてデッキの一番下に置く。,ライフバースト：あなたのデッキの上からカードを３枚見る。その中からシグニ１枚を公開し手札に加えるか場に出し、残りを好きな順番でデッキの一番下に置く。,―
WXDi-D06-021,ダウナー・サウンド,スペル,-,黒,-,《黒》×1,-,対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－6000する。あなたの場に＜DIAGRAM＞のルリグが３体いる場合、代わりにターン終了時まで、それのパワーを－8000する。（パワーが０以下のシグニはルールによってバニッシュされる）,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、ターン終了時まで、それのパワーを－15000する。,―
WXDi-D04-005,DJ.LOVIT-standby,ルリグ,LOVIT,赤,0,-,-,―,―,―
WXDi-D06-018,アイン＝グリーンガス,シグニ,奏武：毒牙,緑黒,1,-,5000,（エナコストを支払う際、このカードは緑か黒１つとして支払える）,―,―
WXDi-D04-016,コードアート　Ｃヤンデリア,シグニ,奏械：電機,白,3,-,10000,【常】：対戦相手のスペルの使用コストは《無×1》増える。【常】：あなたのトラッシュにスペルがあるかぎり、このシグニのパワーは＋3000され、このシグニによってバニッシュされたシグニはエナゾーンに置かれる代わりにトラッシュに置かれる。,ライフバースト：あなたのトラッシュからシグニとスペルをそれぞれ１枚まで対象とし、それらを手札に加える。,―
WXDi-D04-012,コードアート　Ｋイチュデ,シグニ,奏械：電機,白,1,-,1000,【自】：このシグニがアタックしたとき、あなたのデッキの上からカードを３枚見る。その中からスペル１枚を公開し手札に加え、残りを好きな順番でデッキの一番下に置く。,―,―
WXDi-D05-005,ニューボーン　ノヴァ,ルリグ,ノヴァ,白,0,-,-,―,―,―
WXDi-D04-019,コードメイズ　バベタワ,シグニ,奏械：迷宮,白緑,2,-,10000,（エナコストを支払う際、このカードは白か緑１つとして支払える）,―,―
WXDi-D04-020,サーバント　＃,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-D04-008,VJ.WOLF-standby,ルリグ,WOLF,緑,0,-,-,―,―,―
WXDi-D05-003,ファイト　Dr.タマゴ,ルリグ,タマゴ,青,2,-,-,―,―,―
WXDi-D05-006,ノヴァ＝ダーティ,アシストルリグ,ノヴァ,白,1,-,-,【出】：あなたのデッキの上からカードを７枚見る。その中から白と青のシグニをそれぞれ１枚まで公開し手札に加え、残りをシャッフルしてデッキの一番下に置く。,―,メインフェイズ
WXDi-D04-002,MC.LION-1stVerse,ルリグ,LION,白,1,-,-,―,―,―
WXDi-D05-009,バン＝クレッシェンド,アシストルリグ,バン,緑,1,-,-,【出】：【エナチャージ２】（あなたのデッキの上からカードを２枚エナゾーンに置く）,―,メインフェイズ
WXDi-D04-007,DJ.LOVIT-MIX,アシストルリグ,LOVIT,赤,2,-,-,【出】：対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。【出】：ターン終了時まで、対象のあなたのシグニ１体は【アサシン】を得、対象のあなたのシグニ１体は【ランサー】を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える。【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,メインフェイズ
WXDi-D04-018,コードメイズ　ガイセンモ,シグニ,奏械：迷宮,白緑,1,-,5000,（エナコストを支払う際、このカードは白か緑１つとして支払える）,―,―
WXDi-D05-010,バン＝リピート,アシストルリグ,バン,緑,2,-,-,【出】：あなたのエナゾーンからシグニ１枚を対象とし、それを手札に加える。【出】：対戦相手のパワー10000以上のシグニ１体を対象とし、それをバニッシュする。,―,メインフェイズ アタックフェイズ
